account,Extreme Fear,Fear,Neutral,Greed,Extreme Greed,fear_net_pnl,greed_net_pnl,fear_minus_greed,all_trades,all_net_pnl,all_win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,124625.229446,1110127.701763,124348.968632,275800.917329,-42078.309494999994,1234752.931209,233722.60783400002,1001030.323375,3818,1592824.507675,0.3596123624934521
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,-4298.44359818,-2234.76957251,-12194.69403239,28666.67704704,35216.71278151,-6533.21317069,63883.38982855,-70416.60299924,7280,45155.48262547,0.4427197802197802
0x271b280974205ca63b716753467d5a371de622ab,15525.749777,26205.068284,-20426.394111,-102780.096282,1758.4981639999999,41730.818061,-101021.598118,142752.416179,3809,-79717.174168,0.3019165135206091
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-25820.018502275,13152.948826873,5334.5025002511,30700.34344381,106878.67091889,-12667.069675402001,137579.0143627,-150246.08403810198,13311,130246.4471875491,0.43858462925400044
0x2c229d22b100a7beb69122eed721cee9b24011dd,11323.76357,3807.576182,41313.301285,19741.859273,89363.307962,15131.339752,109105.167235,-93973.827483,3239,165549.808272,0.5199135535659154
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-57009.547784,-515.8015870000002,-1231.7127629999998,-3561.5383175,30967.92570212,-57525.349371000004,27406.38738462,-84931.73675562,815,-31350.67474938,0.45521472392638035
0x39cef799f8b69da1995852eea189df24eb5cae3c,-76806.45705766,54195.205666,10791.845975,10497.57873528,14320.088891309999,-22611.251391659993,24817.66762659,-47428.91901824999,3589,12998.262209929999,0.32766787405962666
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,104.115634,4212.695339923,8012.789628,4222.455692240001,36767.91677292,4316.810973922999,40990.37246516,-36673.561491237,332,53319.973067082996,0.4759036144578313
0x420ab45e0bd8863569a5efbb9c05d91f40624641,9434.75608,99590.422055021,74265.008071,11984.657952000001,3962.781485,109025.17813502101,15947.439437,93077.73869802101,383,199237.625643021,0.2349869451697128
0x430f09841d65beb3f27765503d0f850b8bce7713,-44.005053,5548.824815,58748.634777,227299.961959,124241.448912,5504.819762,351541.41087100003,-346036.59110900003,1237,415794.86541,0.48423605497170574
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-14582.432557240001,9879.3437842741,3954.577814754,36188.16020841,66673.22038962,-4703.088772965901,102861.38059803,-107564.4693709959,8519,102112.8696398181,0.35344524005164923
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,164735.50792,293174.58315,96587.23313881,94932.788648,20290.945392,457910.09107,115223.73404000001,342686.35703,4356,669721.05824881,0.48622589531680444
0x4f93fead39b70a1824f981a54d4e55b278e9f760,71421.679577,-24940.439150000006,38558.853083999995,67854.162537,115357.146265,46481.240427,183211.308802,-136730.06837500003,7584,268251.402313,0.3603639240506329
0x513b8629fe877bb581bf244e326a047b249c4ff1,-71659.388582,329571.048489,367919.83523342,138178.797436,-12.38025211,257911.65990700002,138166.41718389,119745.24272311002,12236,763997.91232431,0.40119320039228507
0x6d6a4b953f202f8df5bed40692e7fd865318264a,1994.9401213771,1955.9349810805,1251.01391019,30175.492673239998,73166.99900918,3950.8751024576,103342.49168241999,-99391.61657996239,975,108544.3806950676,0.4317948717948718
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,33314.94320767,-58347.14341496,-10.599979000000001,453028.0488,-181.119965,-25032.20020729,452846.92883499997,-477879.12904229,1590,427804.12864871,0.34591194968553457
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,198844.447855,144451.719339,-4540.258551,20979.495518,522.60702384,343296.167194,21502.10254184,321794.06465216,1424,360258.01118484,0.30337078651685395
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,25462.642353,48858.149333,-3037.1473779999997,95212.228143,210004.27511832,74320.791686,305216.50326132,-230895.71157532,9893,376500.14756932,0.8108763772364298
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2808.8609159999996,3764.572228,-470.88240288,6758.159890860001,1259.51551206,6573.433144,8017.675402920001,-1444.2422589200014,1559,14120.22614404,0.45221295702373315
0x8170715b3b381dffb7062c0298972d4727a0a63b,12620.646661,150815.218681,47316.25438,-360769.31587600004,-19183.31407892,163435.865342,-379952.62995492003,543388.4952969201,4601,-169200.51023292,0.38274288198217776
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,-4926.823461,237.36820358,12219.7618271,54619.419093020006,-20.949975279999983,-4689.45525742,54598.46911774001,-59287.92437516001,1911,62128.775687420006,0.33019361590790164
0x8477e447846c758f5a675856001ea72298fd9cb5,1559.69343,8912.991912,173.06928,-25398.0796994,54876.790957929996,10472.685341999999,29478.711258529995,-19006.025916529994,14998,40124.46588053,0.26196826243499133
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3197.287949,-859.94610755,-1.99999899,58786.626373,62635.01511928,2337.34184145,121421.64149228,-119084.29965083,3052,123756.98333474,0.2853866317169069
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,987.68795,12466.233759,8561.5188502641,34596.0726576317,47403.406606,13453.921709,81999.4792636317,-68545.5575546317,15605,104014.9198228958,0.3457866068567767
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-961.55955,-16860.249558800002,-53.75791547,44145.52981703,46386.58347473,-17821.8091088,90532.11329176,-108353.92240056,417,72656.54626749,0.5731414868105515
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,516.011205,8030.643015,0.0,38026.085109,20724.15093739,8546.65422,58750.23604639,-50203.58182639,563,67296.89026639,0.40852575488454707
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,-3.805396,14147.5849965536,7018.857896,40.261606,14.187041,14143.7796005536,54.448647,14089.330953553601,534,21217.0861435536,0.32209737827715357
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,8953.61169806,90425.75461233,398266.55259402003,525962.20222277,1103779.15831,99379.36631039,1629741.36053277,-1530361.99422238,14733,2127387.27943718,0.3371343243059798
0xb899e522b5715391ae1d4f137653e7906c5e2115,-42026.847157,33747.974456,2124.199807,0.0,0.0,-8278.872700999993,0.0,-8278.872700999993,4838,-6154.672893999999,0.4386109962794543
0xbaaaf6571ab7d571043ff1e313a9609a10637864,260019.900625781,615230.498392,56312.148887,4.552649,0.0,875250.399017781,4.552649,875245.846368781,21192,931567.100553781,0.46758210645526616
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,36864.890074999996,234423.582822,-91572.19725343,30121.630614,5908.057110999998,271288.47289699997,36029.687724999996,235258.78517199997,2641,215745.96336857,0.32752745172283226
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,29044.577198080002,51523.19727303,24007.12406048,241015.4457194,477137.30911706,80567.77447111,718152.75483646,-637584.98036535,40184,822727.65336805,0.428230141349791
